query_language,title,year,venue,authors,doi,openalex_url,matched_keywords,cited_by_count,type
en,CONTEMPORARY ISSUES AND WAYS OF IMPLEMENTING THE GREAT SILK ROAD TOURISM PROJECT IN THE CENTRAL ASIAN REPUBLICS,2020,Central Asia and the Caucasus,Dzhamilya Gusenova; Naila Akhedovna Sarkarova; Siyadat Alibekova; Gabibat Baisaidova,10.37178/ca-c.20.2.08,https://openalex.org/W3037892137,['silk road tourism'],0,article
en,Cultural tourism in Europe.,2010,RePEc: Research Papers in Economics,AnaMaria Pahos; Athanasios Stamos Stamos; Saša Kicošev,,https://openalex.org/W267741216,['cultural tourism'],97,article
en,Toward a Halal Tourism Market,2010,Tourism Analysis,Mohamed Battour; Mohd Nazari Ismail; Moustafa Battor,10.3727/108354210x12864727453304,https://openalex.org/W1986862146,['halal tourism'],226,article
en,The Routledge Handbook of Halal Hospitality and Islamic Tourism,2019,,"Hall, Colin Michael 1961-; Prayag, Girish",10.4324/9781315150604,https://openalex.org/W3003800025,['Islamic tourism'],46,book
en,Heritage resources as a driver for cultural tourism in Nigeria,2020,Cogent Arts and Humanities,Ngozi Ezenagu,10.1080/23311983.2020.1734331,https://openalex.org/W3007087645,['cultural tourism'],51,article
en,"Halal tourism beyond 2020: concepts, opportunities and future research directions",2023,Journal of Islamic marketing,Punit Moris Ekka,10.1108/jima-09-2022-0260,https://openalex.org/W4324356220,['halal tourism'],54,article
en,Performance and visitors’ perception of authenticity in eco-cultural tourism,2017,Tourism Geographies,Guillaume Tiberghien; Hamish Bremner; Simon Milne,10.1080/14616688.2017.1285958,https://openalex.org/W2561588813,['cultural tourism'],81,article
en,"Cultural tourism and poverty alleviation in rural Kilimanjaro, Tanzania",2014,Journal of Tourism and Cultural Change,Wineaster Anderson,10.1080/14766825.2014.935387,https://openalex.org/W1977566035,['cultural tourism'],105,article
en,An analytic frame work of RMP for intangible cultural heritage of Silk Road tourism,2012,Ganhanqu ziyuan yu huanjing,Ouyang Zheng-yu,,https://openalex.org/W2355533665,['silk road tourism'],2,article
en,Halal tourism: literature review and experts’ view,2019,Journal of Islamic marketing,Alfonso Vargas Sánchez; María Moral Moral,10.1108/jima-04-2017-0039,https://openalex.org/W2948340040,['halal tourism'],123,article
en,Thessaloniki on the Silk Road: Exhibition Tourism at Thessaloniki International Fair,2023,"Advances in Science, Technology & Innovation/Advances in science, technology & innovation",Stella Kostopoulou; Styliani Lefaki; Dimitrios Kyriakou; Evina Sofianou; Paraskevi Papadopoulou,10.1007/978-3-031-31027-0_25,https://openalex.org/W4387101967,['silk road tourism'],1,conference-paper
en,The Concept of Halal Tourism and The Fulfillment of Muslim Tourist Needs in Halal Tourism,2021,Halal Research Journal,M. Febtian Syah Putra; Karina Pradinie Tucunan,10.12962/j22759970.v1i2.52,https://openalex.org/W3169121424,['halal tourism'],21,article
en,Virtual and Augmented Reality Technologies to Enhance the Visitor Experience in Cultural Tourism,2019,Progress in IS,Dai‐In Danny Han; Jessika Weber; Marcel Bastiaansen; Ondrej Mitas; Xander Lub,10.1007/978-3-030-06246-0_9,https://openalex.org/W2898572852,['cultural tourism'],194,book-chapter
en,Halal tourism: conceptual and practical challenges,2018,Journal of Islamic marketing,Erhan Boğan; Mehmet Sarıışık,10.1108/jima-06-2017-0066,https://openalex.org/W2899268951,['halal tourism'],200,article
