query_language,lang_consistent,script_detected_lang,relevance_hit_count,relevance_hits,title,year,venue,authors,doi,openalex_url,abstract_snippet
ar,True,ar,6,"['السياحة', 'التنمية السياحية', 'السياحية', 'السياحي', 'السائحين', 'السائح']",المحمیات الطبیعیة بشبه جزیرة سیناء. (دراسة فى جغرافیة السیاحة),2016,مجلة البحث العلمي في الآداب,شیماء سالم,10.21608/jssa.2016.11403,https://openalex.org/W2888386378,تعددت التعريفات الخاصة بالمحميات الطبيعية ، ومنها التعريف الخاص بالقانون المصري رقم 102 لعام 1983م ويُعرف المحميات الطبيعية بأنها مساحة من الأرض أو المياه الساحلية أو الداخلية تتميز بما تضمنه من کائنا
ar,True,ar,4,"['السياحة', 'السياحة الثقافية', 'السياحي', 'التراث']",التأثیر السیكولوجی للمفردات الشكلیة للعناصر التراثیة المصریه للترویج للإعلان السیاحی الثقافی,2022,مجلة الفنون والعلوم التطبيقية,ریهام محمد فهیم الجندى,10.21608/maut.2022.266041,https://openalex.org/W4312759630,للقوى الناعمة دور إيجابي للتأثير على المجمعات العالمية وتطوير استراتيجية الترويج السياحي والثقافي لمصر محليا وعالميا طبقا للمعايير الدولية يخدم خطط التنمية المستدامه للدولة المصرية، كما أن الاستفادة ب
ar,False,en,1,['السفر'],الهجرة غير الشرعية من منظور الفقه الإسلامي.,2023,حولیة کلیة الدراسات الإسلامیة والعربیة للبنات بالمنصورة,نجلاء لبيب حسين عبد الرحمن,10.21608/bfsgm.2023.332542,https://openalex.org/W4390514047,تناولت هذا البحث في مقدمة، وخمسة مباحث، وخاتمة. ذكرت تعريف الهجرة غير الشرعية، وبينت أسبابها، آثارها، وحكمها في الشريعة الإسلامية، وعوامل القضاء عليها، وختمت البحث بأهم النتائج والتوصيات. وقد خلص البح
ar,True,ar,7,"['السياحة', 'التنمية السياحية', 'السياحية', 'السياحي', 'السائح', 'التراث', 'السفر']",دور الاعلام الرقمي في التنمية السياحية في ضوء رؤية المملكة العربية السعودية 2030,2024,Journal of Educational and Human Sciences,سعد الحميدي العتيبي,10.33193/jeahs.39.2024.546,https://openalex.org/W4402841829,تهدف هذه الدراسة الى تأثير و دور وسائل الاعلام الرقمية على التنمية السياحية من خلال استخدام الوسائل الالكترونية المتنوعة مثل فيس بوك و تويتر و غيرها و بلغات متعددة و ذلك لزيادة و نمو الاقتصاد فى السعو
ar,True,ar,2,"['المتحف', 'الحج']",أضواء على الوشائج الحضارية الأرتقية في بيت المقدس,2021,Journal of Islamicjerusalem Studies,Yusuf NATSHAH,10.31456/beytulmakdis.810769,https://openalex.org/W4200279758,مع أن نواة الدولة الأرتقية قامت في مدينة بيت المقدس في ظروف سياسيَّة بالغة التعقيد، وقد تشبه في تعقيدها بعضا من الظروف السياسية التي تمر بها الأمة العربية والاسلامية في هذه الايام، ورغم أن الأراتقة قد
ar,True,ar,5,"['السياحة', 'السياحي', 'السائحين', 'السائح', 'الآثار']",دور المنصات الرقمية في تعزيز السياحة التشاركية في مصر,2024,مجلة کلية السياحة والفنادق جامعة المنصورة,بسمة أشرف محمد رشاد; غادة علي حمود; رانيا محمد بهاء الدين,10.21608/mkaf.2024.404536,https://openalex.org/W4406700621,"تناولت هذه الدراسة أحد المفاهيم الاقتصادية الحديثة التي أحدثت تحولاً كبيراً في العديد من القطاعات، وهو ""الاقتصاد التشاركي"". لقد شهد هذا النوع من الاقتصاد انتشاراً واسعاً على المستويين المحلي والعالمي "
ar,False,en,2,"['التراث الثقافي', 'التراث']",الفكر العربي وآفاقه المستقبلية,2017,Tishreen University Journal- Arts and Humanities Sciences Series,ابراهيم رزوق; عقيل حسن,,https://openalex.org/W2943390956,يسلط البحث الضوء على مشكلة ثقافية عدها الباحثون المعاصرون إحدى أهم المشكلات التي ساهمت في تفكك البنيان الثقافي والمعرفي لمجتمعنا العربي في الوقت الذي كان الجهد منصبا حول تجديد الهوية الثقافية لهذا الم
ar,True,ar,1,['الموروث الثقافي'],تجاذب المرأة الجزائرية بين الموروث الثقافي والتشريعات الفرنسية في الجزائر المستعمرة,2021,مجلة جيل العلوم الإنسانية والاجتماعية,محمد غربي,10.33685/1316-000-080-008,https://openalex.org/W4285547244,
ar,True,ar,1,['المعالم الأثرية'],"المعالم الأثرية القديمة في الجزائر من خلال مؤلفات الأستاذ ""محمد الصغير غانم",2018,مجلة المعارف للبحوث والدراسات التاريخية,حناي محمد,,https://openalex.org/W3100512564,
ar,True,ar,2,"['التراث الثقافي', 'التراث']",تحليل عناصر التصميم الجرافيكي في متحف الأردن وأثرها على تجربة الزائر,2024,Al-Maǧallah Al-ʿarabiyyaẗ Al-Dawliyyaẗ Lil Fan wa Al-Taṣmīm Al-Raqamī,ندى المومني; السيد قنديل; محمود فريد,10.21608/iajadd.2023.215355.1061,https://openalex.org/W4390512465,متحف الأردن هو بوابة للتراث الثقافي والتاريخي للمملكة الأردنية الهاشمية، حيث تعرض القطع الأثرية والأعمال الفنية ويعرف بالهوية الأردنية الاصيلة والقيم والعادات الاجتماعية منذ القدم وحتى يومنا الحالي. ل
