query_language,lang_consistent,script_detected_lang,relevance_hit_count,relevance_hits,title,year,venue,authors,doi,openalex_url,abstract_snippet
en,True,en,1,['silk road tourism'],"The Eurasian Economic Union and Silk Road Tourism: Qualifying Resources, Amplifying Messages",2023,"Advances in Science, Technology & Innovation/Advances in science, technology & innovation",K. Thirumaran; Redeem Faith Sabacan; Zahra Pourabedin; Hong Hanh Nguyen; Haejin Jang; Benedict Atkinson; Jacob Wood,10.1007/978-3-031-31027-0_23,https://openalex.org/W4387102085,
en,True,en,1,['cultural tourism'],"Tourism resources and development in Xinjiang, China",2025,Explora Environment and Resource,Liping Li; Kun Yu; Qiang Chen; Fangmiao Chen; Yanhui Zhang; Zhenglei Xie; Siyuan He; Yaomin Zheng,10.36922/eer025060010,https://openalex.org/W4409566022,"We collected data from approximately 500 tourism destinations and revenues of Xinjiang region, China, to assess tourism resources and improve tourism industry development. We analyzed the characterist"
en,True,en,1,['halal tourism'],Halal tourism regulations in Indonesia: trends and dynamics in the digital era,2022,IJTIHAD Jurnal Wacana Hukum Islam dan Kemanusiaan,Lukman Santoso; Agus Triyanta; Jawahir Thontowi,10.18326/ijtihad.v22i1.73-94,https://openalex.org/W4312550729,"The halal tourism industry is an emerging sector that has recently become a global trend in economic development in many countries. However, in various regions in Indonesia, halal tourism triggers ano"
en,True,en,1,['cultural tourism'],Issues in Cultural Tourism Studies,2015,,Melanie K. Smith,10.4324/9781315767697,https://openalex.org/W4230213398,The third edition of Issues in Cultural Tourism Studies provides a vital framework for analysing the complexity of cultural tourism and its increasing globalization in existing as well as emergent des
en,True,en,1,['cultural tourism'],Brand personality in cultural tourism through social media,2020,Tourism Review,Francisco Peco-Torres; Ana Isabel Polo Peña; Dolores M. Frías‐Jamilena,10.1108/tr-02-2019-0050,https://openalex.org/W3028193800,Purpose This study aims to analyze the effect of the use of social media on the perception of brand personality and to identify its effect on customer brand engagement. Design/methodology/approach The
en,True,en,1,['cultural tourism'],Cultural tourism in the context of relations between mass and alternative tourism,2014,Current Issues in Tourism,Dobrica Jovičić,10.1080/13683500.2014.932759,https://openalex.org/W2024261078,"In the initial stage of its development, cultural tourism represented one of the alternative forms of tourism, opposed to mass tourism. The beginning of the 1990s indicates a period of transformation "
en,True,en,1,['islamic tourism'],"Islamic Tourism: Emerging Trends, Challenges, and Opportunities in Tourism Industry of Malaysia",2019,,Zaleha Muda; Diyana Md Jamil; Nur Hayati Abd Jamil; Shafizul Faizal Zulkiply,10.1007/978-981-13-2677-6_25,https://openalex.org/W2946228525,
en,True,en,1,['halal tourism'],Muslim Travel Behavior in Halal Tourism,2018,InTech eBooks,Mohamed Battour,10.5772/intechopen.70370,https://openalex.org/W2783399316,Destination marketers need to understand Muslim travel behaviour in order to satisfy his/her needs especially in Halal tourism industry. This chapter discussed the importance of getting the terminolog
en,True,en,1,['islamic tourism'],The invention of al-Andalus: discovering the past and creating the present in Granada's Islamic tourism sites,2014,The Journal of North African Studies,Eric Calderwood,10.1080/13629387.2013.862777,https://openalex.org/W1996666954,"In a 2008 survey by the Pew Research Centre, 52% of Spaniards confessed to having negative views of Muslims. Yet, one of the most profitable segments of Spain's tourism industry is built on marketing "
en,True,en,1,['islamic tourism'],Islamic Tourism in Southeast Asia: The Concept and its Implementation,2020,International Journal of Halal Research,Zubaidi Wahyono; Mohd Abbas Abdul Razak,10.18517/ijhr.2.2.90-105.2020,https://openalex.org/W2998707977,Tourism has now become an important source of revenue for many countries in the world. The spillover from this booming and lucrative industry impacts positively the other sectors of the national econo
zh,True,zh,1,['文化旅游'],"突出文化主题,打造文化旅游名城——以宁乡文化旅游产业发展为例",2010,湖南省社会主义学院学报,朱锡宁,,https://openalex.org/W843044434,"旅游活动作为一种文化活动,只有充分挖掘本土文化内涵,体现特色的文化精髓,才会更具吸引游客的魅力,才能实现健康可持续发展.宁乡旅游资源根据其文化主题,可以概括为历史名人、宗教文化、保健疗养、文物遗址、新城建设和儒学传统六个方面.将宁乡打造成文化旅游名城须:大力强化政府引导;充分挖掘文化内涵;加强旅游文化建设;加大宣传推介力度;全力打造提升平台."
zh,True,zh,1,['文旅融合'],基于文旅融合背景下费东村主题餐厅室内设计研究,2025,教育研究与实践,扈歌; 魏昕宇; 赵彤彤,10.63887/jerp.2025.1.4.33,https://openalex.org/W4412153061,在国家政策对新农村建设和乡村振兴的持续推动下，乡村餐饮业迎来了前所未有的发展机遇。面对这一历史性的契机，乡村餐饮空间未来的发展应当立足于保护和传承乡土文化元素的基础之上，同时兼顾现代化经营理念和生态环保要求，力求实现传统化与现代化的有机融合，为乡村振兴和乡村旅游的发展作出积极而深远的贡献。在这一背景下，本文深入探讨费东村民俗文化元素如何能够有效地融入乡村餐饮的室内空间设计之中，旨在通过这一创新性的
zh,True,zh,1,['文化旅游'],智慧文化旅游——“互联网＋文化旅游”的发展新趋势,2016,商,李桦,,https://openalex.org/W2512721408,"本文首先将通过分析旅游产业与互联网融合所产生的新业态来发掘出最具发展潜力的模式,并通过综合文化旅游得到＂智慧文化旅游＂这一＂互联网＋文化旅游＂的发展新业态;其次对＂智慧文化旅游＂这一未来发展趋势进行定义;最后总结成功的案例,得出可行的＂智慧文化旅游＂的开发模式,为未来为＂互联网＋文化旅游＂的相融合提供参考。"
zh,True,zh,1,['文旅融合'],文旅融合背景下城市雕塑创作研究——以冰雪雕塑创作研究为例,2025,Educational Theory and Research,国明 刘; 梅子 万,10.61369/etr.11280,https://openalex.org/W4412760232,当今时代背景下，文旅融合成为时代发展必然产物，而城市雕塑作为城市文化与旅游的新象征，深入研究其内涵与创作具有重要意义。本文以当下最为火热的冰雪雕塑创作研究为例，深入剖析城市雕塑在文旅融合背景下的发展态势，研究文旅融合对城市雕塑发展的影响。冰雪雕塑的创作需深度挖掘地域文化内涵，与城市文旅特色紧密相连；还要明确冰雪雕塑的诞生意义，兼顾旅游需求，增强雕塑的互动性与体验性。通过研究冰雪雕塑的外形、内涵等，
zh,True,zh,1,['文化旅游'],思南县举办“中秋·国庆”文化旅游系列活动,2012,群文天地（贵州）,刘莉芳; 安雪莲,,https://openalex.org/W1036970085,2012年中秋·国庆两节黄金周，以发展旅游经济，繁兴县域文化为目的的广场文化活动，在思南县文体广电旅游局的精心组织下，以一场丰富多彩的中秋文艺演出拉开大幕，紧接着“激情广场·大家唱”、“京剧票友专场演唱会”、“书法大赛”、“摄影展”，长坝石林“篝火晚会”等精彩活动次第花开，交相辉映，为金秋的思南和节日里的思南营造起了和谐欢乐的气氛。
zh,True,zh,2,"['文化旅游', '文旅融合']",“宗教﹢旅游”突破文旅融合发展瓶颈--以乐山佛教文化旅游为例,2020,Acta Scientiarum Naturalium Universitatis Sunyatseni,张舸,,https://openalex.org/W3128280737,
zh,True,zh,0,[],民族地区“非物质文化遗产”旅游开发的价值及其策略——以中国西北之魂——“花儿”为例,2011,Acta Scientiarum Naturalium Universitatis Sunyatseni,徐全利; 张世均,,https://openalex.org/W254866371,"被称为我国西北之魂的＂花儿＂是联合国教科文组织登录的＂非物质文化遗产＂,具有重要的艺术学、社会学、历史学、文学、语言学、社会学等自身价值。＂花儿＂以其分布地域广、历史悠久、特点鲜明、价值丰富成为西北地区重要的旅游资源,具有独特的民俗风情、原生态、文化、宗教、会议商务等旅游价值,但在开发＂花儿＂时应该准确把握其形象定位、开发策略和宣传营销策略,才能做到科学发展。"
zh,True,zh,1,['文旅融合'],A Study on the Symbolic Transformation of Tibetan Intangible Cultural Heritage and the Narrative Construction of Community Consciousness,2025,,Yixin Publisher; Miao Chen; Minhua Ma,10.59825/jcs.2025.3.8.60,https://openalex.org/W4414305170,西藏非物质文化遗产（以下简称为西藏非遗）作为中华民族多元一体格局的战略性文化资源，其符号体系承载着中华民族共同体的集体记忆与文明密码，在铸牢中华民族共同体意识中具有独特的文化治理价值。本研究基于马克思主义文化观与符号学理论，构建“符号解码—叙事重构—认同生成”三维框架，系统探讨西藏非遗在筑牢中华民族共同体意识中的作用机制。通过分析唐卡、格萨尔史诗等非遗形态中的符号再生产、叙事转化与情感动员路径，揭
zh,True,zh,1,['文化旅游'],打造文化旅游品牌 推进两型社会建设——对醴陵文化旅游产业发展的调研,2010,今日财富,王主民,,https://openalex.org/W1024171169,旅游业是最能够集中体现科学发展观、最契合“两型”社会建设要求的新兴产业。2009年11月25日召开的国务院常务会讨论并原则通过了《关于加快发展旅游业意见》。明确指出：旅游业兼具经济和社会功能，资源消耗低，带动系数大，
zh,True,zh,1,['文旅融合'],新时代文旅融合背景下乡村旅游高质量发展对策分析,2021,现代经济管理,声柏 卢,10.33142/mem.v2i1.3349,https://openalex.org/W4230614766,文旅融合是新时代旅游行业发展的大势所趋，更是乡村旅游高质量发展的重要原则，应当在乡村旅游建设中重点挖掘和融合乡村文化，让承载着文化的乡村旅游项目为游客提供独特的体验。文中介绍了文旅融合在乡村旅游发展中的重要作用，探讨了乡村旅游和文化资源融合发展和共同推进乡村旅游建设的措施。
ar,True,ar,1,['مبادرة الحزام والطريق'],مكانة السعودية الجيو اقتصادية في استراتيجيات القوى التعديلية : مبادرة الحزام والطريق انموذجا,2025,Iraqi Journal of Economic Sciences,م.م زياد عبدالرحمن علي محمود,10.31272/ijes.v23i86.1337,https://openalex.org/W4414928701,"يناقش البحث مكانة المملكة العربية السعودية الجيو-اقتصادية في استراتيجيات القوى التعديلية مثل روسيا والصين، مع التركيز على مبادرة الحزام والطريق , يبدأ البحث من فرضية أساسية مفادها أن السعودية تلعب دور"
ar,True,ar,1,['مبادرة الحزام والطريق'],حوكمة المبادرات العابرة للحدود: مبادرة الحزام والطريق من المنظورين الصيني-المصري,2026,مجلة البحوث المالیة والتجاریة,شريف سيف الدين خليل,10.21608/jsst.2026.466117.2202,https://openalex.org/W7128905815,
ar,True,ar,1,['مبادرة الحزام والطريق'],نحو هیمنة اقتصادیة جدیدة من خلال استراتیجیة الحزام والطریق,2022,مجلة البحوث الإدارية,gehad sabry,10.21608/jso.2022.168540.1056,https://openalex.org/W4309834808,خلصنا من هذا الدراسة إلى ما قد تتركه مبادرة الحزام والطريق من آثار بعيدة المدى على الساحة الدولية بسبب طبيعتها المختلفة، إذ أن نجاح تلك المبادرة سيعطي للصين مکانة أقتصادية وقوة إقليمية وعالمية کبري، ح
ar,True,ar,1,['السياحة الثقافية'],"تثمين وتطوير المواقع التاريخية كمدخل نحو تنمية السياحة الثقافية في الجزائر:, دراسة حالة المواقع التاريخية المرتبطة بالثورة الجزائرية",2025,مجلة دفاتر البحوث العلمية,شباح محمد,10.37218/1426-013-001-003,https://openalex.org/W4414960535,
